"proc__SID","proc__freq","proc__hourBlock","proc__day","proc__beepvar","personality__A_rude","personality__E_quiet","personality__C_lazy","personality__N_relaxed","personality__N_depressed","personality__E_outgoing","personality__A_kind","personality__C_reliable","personality__N_worried","personality__authentic","personality__self_esteem","personality__happy","personality__lonely","personality__posEmo","personality__negEmo","situation__stayHome","situation__studied","situation__music","situation__passFacebook","situation__actFacebook","situation__sick","situation__actService","situation__phone","situation__video","situation__class"
10532,13,1,15,57,1,2,2,4,1,4,4,5,1,5,4,4,1,4,1,0,1,0,0,0,0,0,0,0,0
10542,19,1,14,53,1,3,1,3,1,3,4,4,3,4,4,3,1,3,2,0,1,0,0,0,0,0,0,0,1
10535,41,1,13,49,2,4,3,2,3,2,2,2,3,2,2,3,3,2,3,0,1,0,0,0,0,0,0,0,1
10543,20,1,11,41,2,3,2,3,1,3,4,4,2,3,4,4,1,3,2,0,0,0,0,0,0,0,0,0,1
10544,17,1,11,41,2,2,2,4,2,3,3,3,2,4,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0
10530,55,1,14,53,NA,5,4,4,2,1,NA,3,1,4,4,3,2,3,2,1,0,1,1,0,0,0,0,1,0
10536,25,1,4,13,2,5,2,2,1,1,4,2,4,2,2,1,1,1,3,0,1,1,1,0,0,0,0,0,0
10498,27,1,14,53,NA,5,3,3,1,1,NA,3,2,3,4,3,2,3,2,1,0,0,0,0,0,0,0,0,0
10512,23,1,15,57,2,2,1,4,1,2,3,3,3,3,4,4,1,3,3,0,0,0,0,0,0,0,0,0,1
10526,36,1,3,9,1,4,2,2,1,2,3,2,4,3,4,3,2,3,3,0,1,0,0,0,0,0,0,0,1
10541,20,1,4,13,1,3,2,4,1,3,5,4,4,3,3,4,2,4,1,0,1,0,0,0,0,0,0,0,1
10515,46,1,13,49,NA,4,2,2,2,1,NA,5,4,5,3,3,1,3,4,0,1,0,1,0,0,0,0,0,0
10523,26,1,13,49,3,5,2,3,1,4,3,4,3,5,4,5,1,3,2,0,0,0,0,0,0,0,0,0,1
10512,23,1,14,53,1,2,1,2,1,3,4,4,2,4,4,4,1,4,2,0,1,0,0,0,0,0,0,0,0
10536,25,1,3,9,1,1,1,5,1,5,3,4,1,4,5,4,1,4,1,0,1,0,0,0,0,0,0,0,1
10530,55,1,13,49,1,5,2,4,1,2,3,5,2,5,4,4,1,3,2,0,1,1,0,0,0,0,0,0,1
10543,20,1,10,37,2,3,3,4,1,3,3,3,2,4,4,4,1,3,2,0,1,0,0,0,0,0,0,0,0
10498,27,1,13,49,1,5,2,3,1,2,3,4,2,3,4,2,1,3,2,0,0,0,0,0,0,0,0,0,1
10538,12,1,3,9,1,4,1,3,1,4,4,2,3,4,3,3,1,3,2,0,0,0,0,0,0,0,0,0,1
10485,37,1,15,57,NA,4,3,3,1,3,NA,4,2,4,4,5,1,5,1,0,0,0,0,0,0,0,0,0,1
10398,12,1,14,53,1,2,2,2,2,4,4,4,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,1
10509,44,1,10,37,NA,5,3,2,2,2,NA,3,4,5,3,3,1,3,3,0,1,0,0,0,0,0,0,0,0
10515,46,1,12,45,1,3,1,3,1,2,1,5,2,3,4,4,1,2,2,0,1,0,1,0,0,0,0,0,1
10541,20,1,3,9,1,2,2,5,1,4,4,4,1,5,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0
10526,36,1,2,5,1,4,3,4,2,3,3,3,2,4,4,3,2,3,3,0,0,0,0,0,0,0,0,0,1
10542,19,1,13,49,1,4,2,3,2,2,1,2,2,1,3,3,3,3,2,1,0,1,1,0,0,0,0,0,0
10533,13,1,3,9,1,5,1,4,1,3,4,3,2,4,4,4,1,4,1,0,1,1,0,0,0,0,1,0,1
10528,44,1,14,53,2,3,2,4,1,3,3,4,2,4,4,4,1,4,1,0,0,0,0,0,0,0,1,0,0
10517,57,1,15,57,1,2,3,4,1,4,5,5,1,5,4,4,1,4,2,0,0,0,0,0,0,0,0,0,1
10529,6,1,11,41,1,5,4,2,3,1,1,2,4,2,3,2,1,3,1,0,0,0,0,0,0,0,0,0,1
10536,25,1,2,5,1,4,4,5,1,3,4,3,2,4,4,4,2,3,2,0,1,0,0,0,0,0,0,0,1
10530,55,1,12,45,1,5,2,2,2,1,4,5,3,3,4,3,1,2,2,0,1,1,1,0,0,1,0,0,0
10528,44,1,13,49,1,1,1,4,2,3,3,4,3,3,4,3,2,3,2,0,0,0,0,0,0,0,0,0,1
10485,37,1,14,53,2,5,3,4,1,2,4,4,1,4,5,4,1,4,2,0,0,0,0,0,0,0,0,0,1
10522,9,1,13,49,2,2,2,3,2,3,2,3,2,4,3,3,3,3,3,0,0,0,0,0,1,0,0,0,1
10544,17,1,9,33,NA,4,2,2,2,2,NA,4,4,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0
10509,44,1,9,33,1,4,3,3,2,4,3,4,2,5,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1
10535,41,1,11,41,2,2,3,4,1,4,3,3,1,4,4,4,1,4,2,0,0,0,0,0,0,0,0,0,1
10541,20,1,2,5,1,4,3,3,1,3,3,3,4,4,4,4,2,3,2,0,1,0,0,0,0,0,0,0,1
10538,12,1,2,5,1,2,3,4,2,4,4,4,3,4,4,4,2,4,2,1,1,1,1,0,0,0,0,0,1
10517,57,1,14,53,NA,5,5,4,1,1,NA,5,1,5,4,3,3,4,3,1,1,1,1,0,0,0,0,1,0
10543,20,1,9,33,2,4,2,3,1,2,3,4,2,3,4,4,1,4,2,0,1,1,0,0,0,0,0,0,0
10533,13,1,2,5,1,2,3,4,1,4,4,4,1,4,4,3,1,4,3,0,1,1,0,0,0,0,1,0,1
10530,55,1,11,41,1,4,1,2,1,3,3,5,3,5,4,3,1,3,3,0,1,0,0,0,0,0,0,0,1
10532,13,1,11,41,NA,3,2,3,1,3,NA,3,2,3,2,3,1,3,2,0,1,1,0,0,0,0,0,0,0
10535,41,1,10,37,2,3,4,2,2,2,3,2,4,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0
10509,44,1,8,29,2,1,2,3,1,4,3,4,3,5,4,4,1,4,3,0,1,0,0,0,0,0,0,0,0
10523,26,1,12,45,1,4,1,3,1,2,3,5,2,5,4,3,1,4,1,0,0,0,0,0,0,0,0,0,1
10528,44,1,12,45,1,3,2,3,1,3,3,4,3,4,3,3,2,3,2,0,0,0,0,0,0,0,0,0,1
10485,37,1,13,49,NA,2,3,2,2,4,3,2,2,3,5,5,1,4,2,0,1,0,0,0,0,0,0,0,0
10508,8,1,11,41,1,3,2,3,2,3,4,3,3,2,2,5,1,3,3,0,1,0,0,0,0,0,0,0,0
10473,30,1,15,57,3,4,1,1,3,1,3,5,3,NA,2,2,1,2,4,0,1,0,0,0,0,0,0,0,0
10516,31,1,14,53,NA,5,1,2,1,1,NA,5,4,3,3,3,1,3,3,1,1,1,0,0,0,0,0,0,0
10515,46,1,10,37,2,4,4,4,1,3,3,5,1,3,5,4,1,4,2,0,0,0,1,1,0,0,0,0,1
10517,57,1,13,49,2,3,3,3,1,2,4,4,1,4,4,3,2,3,2,0,0,0,0,0,0,0,0,0,0
10498,27,1,11,41,1,5,2,2,2,1,3,4,3,3,4,2,2,2,3,0,0,0,0,0,0,0,0,0,1
10518,13,1,10,37,NA,4,4,4,2,2,4,3,2,4,3,2,2,4,4,1,0,1,1,0,1,0,0,1,0
10509,44,1,7,25,2,3,3,5,2,3,3,4,3,5,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0
10540,21,1,10,37,NA,3,5,4,3,1,NA,4,3,5,3,3,2,4,2,1,0,0,0,0,0,0,0,1,0
10544,17,1,7,25,2,4,1,3,2,3,4,5,2,4,5,4,1,4,1,0,0,0,0,0,0,1,0,0,0
10513,41,1,13,49,2,3,3,4,1,4,4,4,1,5,5,5,1,5,1,0,0,1,0,0,0,0,0,0,0
10530,55,1,10,37,2,3,2,4,2,4,3,4,3,5,5,3,1,4,2,0,0,0,0,0,0,0,0,0,0
10543,20,1,7,25,2,3,3,4,1,3,3,2,2,3,4,4,2,3,2,0,0,0,0,0,0,0,0,0,0
10485,37,1,12,45,2,3,3,3,1,4,4,3,2,5,4,4,3,5,3,0,0,0,0,0,0,0,0,0,0
10535,41,1,8,29,1,3,3,4,1,4,3,2,1,3,3,4,2,4,2,1,0,0,0,0,1,0,0,0,0
10509,44,1,6,21,1,2,3,4,1,4,3,4,1,4,4,4,1,4,1,0,0,0,0,0,0,0,0,0,0
10515,46,1,8,29,NA,5,5,5,2,1,NA,3,1,3,4,4,1,3,1,1,0,0,1,0,0,0,0,1,0
10498,27,1,9,33,1,1,3,4,2,4,5,5,2,5,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0
10517,57,1,11,41,2,3,3,5,1,4,4,4,1,5,4,4,1,4,2,0,0,0,1,0,0,0,0,1,0
10530,55,1,9,33,3,2,1,4,2,5,2,4,2,4,4,5,1,5,2,0,0,0,0,0,0,0,0,0,0
10477,33,1,15,57,2,2,3,4,3,3,3,3,4,4,3,3,1,4,2,1,0,0,0,0,0,0,0,0,0
10485,37,1,11,41,2,3,1,4,1,4,4,3,2,3,5,4,2,4,3,0,0,0,0,0,0,0,0,0,0
10516,31,1,12,45,3,3,1,2,1,3,3,4,3,4,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0
10515,46,1,7,25,1,2,2,4,1,3,5,5,1,3,5,3,1,3,2,0,0,0,0,0,0,1,0,0,0
10517,57,1,10,37,NA,5,5,5,1,1,NA,1,1,4,3,3,3,3,2,1,0,1,1,0,0,0,0,1,0
10522,9,1,9,33,3,3,3,2,1,3,3,4,2,3,3,3,2,3,3,1,1,1,0,0,0,1,0,0,0
10513,41,1,11,41,1,2,3,5,1,4,5,5,2,5,4,5,1,4,1,1,1,0,1,0,0,0,0,1,0
10485,37,1,10,37,2,2,2,3,1,3,4,3,2,4,4,5,2,4,2,0,0,0,0,0,0,0,0,0,0
10530,55,1,8,29,2,4,2,3,1,3,3,5,3,4,3,3,2,4,2,1,1,1,1,0,0,0,1,0,0
10537,14,1,5,17,1,2,2,4,1,5,4,4,1,4,5,5,1,5,1,1,0,0,0,0,0,0,0,0,0
10494,56,1,15,57,NA,5,1,5,1,1,NA,3,3,5,4,5,2,3,1,1,1,1,0,0,0,0,0,0,0
10473,30,1,12,45,NA,NA,3,5,1,3,NA,3,2,NA,3,4,1,4,2,1,0,0,0,0,0,0,0,0,0
10506,20,1,14,53,2,4,4,4,1,2,4,3,1,4,4,4,3,4,2,1,0,0,0,0,0,0,0,0,0
10512,23,1,8,29,1,4,5,3,2,2,5,4,2,3,4,4,1,4,2,1,0,0,0,0,0,0,0,0,0
10460,23,1,13,49,1,1,2,5,1,5,4,5,1,5,4,5,1,5,1,1,0,1,0,0,0,1,0,1,0
10530,55,1,7,25,1,3,4,4,1,2,4,4,1,4,5,4,2,4,2,0,0,0,0,0,0,0,0,0,0
10509,44,1,4,13,1,2,5,5,1,4,4,4,3,5,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0
10510,42,1,15,57,2,3,5,4,3,3,3,4,2,5,2,4,1,4,3,1,0,0,0,0,0,0,0,0,0
10528,44,1,8,29,1,2,3,4,1,4,3,4,2,4,3,4,1,3,2,0,0,1,0,0,0,0,0,0,0
10540,21,1,7,25,1,2,3,4,4,4,3,5,4,3,2,3,1,4,3,1,0,0,0,0,0,0,0,0,0
10494,56,1,14,53,NA,5,1,5,1,1,NA,5,3,5,5,5,1,4,1,1,1,1,0,1,0,0,0,0,0
10522,9,1,8,29,3,3,4,3,1,3,3,3,1,4,4,3,2,3,2,1,0,1,0,0,0,1,0,0,0
10497,35,1,11,41,2,2,4,4,1,3,4,4,1,4,4,5,1,4,2,0,0,0,0,0,0,0,0,0,0
10513,41,1,10,37,2,3,5,5,3,4,3,5,2,5,5,4,2,5,1,1,1,0,0,0,0,0,0,0,0
10517,57,1,9,33,1,3,1,4,1,5,5,4,1,5,4,4,2,4,1,0,0,0,1,0,0,0,0,0,0
