old,new,old2
45,4950,10045
54,35850,10054
44,24528,10044
70,59057,10070
18,38179,10018
53,75578,10053
72,68442,10072
48,90817,10048
32,78387,10032
41,42807,10041
46,90267,10046
37,30871,10037
26,71681,10026
36,7287,10036
35,82540,10035
49,53001,10049
40,43285,10040
22,84401,10022
19,89450,10019
27,84137,10027
31,90700,10031
17,9006,10017
20,88595,10020
8,22652,10008
2,38151,10002
11,74312,10011
5,62715,10005
4,15669,10004
1,97049,10001
10,15725,10010
6,95555,10006
7,9511,10007
10550,44351,10550
10500,15715,10500
10435,2650,10435
10394,70588,10394
10340,19178,10340
10223,95358,10223
10201,67629,10201
10197,68250,10197
10185,53139,10185
10421,33051,10421
10392,50553,10392
10382,15768,10382
10275,19204,10275
10230,18963,10230
10211,37068,10211
103,56296,10103
10417,11493,10417
10433,71892,10433
10395,4319,10395
10408,40191,10408
10256,41975,10256
10285,58892,10285
10202,25862,10202
10192,48485,10192
10131,99346,10131
10384,97043,10384
10290,52812,10290
10296,73917,10296
10358,72367,10358
100,40410,10100
1049,84638,11049
423393,89706,423393
425363,56964,425363
429298,16090,429298
431092,20088,431092
431582,34171,431582
431699,25832,431699
424709,49822,424709
425978,80862,425978
429404,5099,429404
429993,24043,429993
431403,44848,431403
