"proc__SID","dem__sex","dem__age","dem__sexOr","dem__YrSchl","dem__Ethn","dem__Race","personality__BFI.A_1","personality__BFI.A_2","personality__BFI.A_3","personality__BFI.A_4","personality__BFI.A_5","personality__BFI.A_6","personality__BFI.A_7","personality__BFI.A_8","personality__BFI.A_9","personality__BFI.C_1","personality__BFI.C_2","personality__BFI.C_3","personality__BFI.C_4","personality__BFI.C_5","personality__BFI.C_6","personality__BFI.C_7","personality__BFI.C_8","personality__BFI.C_9","personality__BFI.E_1","personality__BFI.E_2","personality__BFI.E_3","personality__BFI.E_4","personality__BFI.E_5","personality__BFI.E_6","personality__BFI.E_7","personality__BFI.E_8","personality__BFI.N_1","personality__BFI.N_2","personality__BFI.N_3","personality__BFI.N_4","personality__BFI.N_5","personality__BFI.N_6","personality__BFI.N_7","personality__BFI.N_8","personality__BFI.O_1","personality__BFI.O_2","personality__BFI.O_3","personality__BFI.O_4","personality__BFI.O_5","personality__BFI.O_6","personality__BFI.O_7","personality__BFI.O_8","personality__BFI.O_9","personality__BFI.O_10","personality__E_outgoing","consistency__E_outgoing","personality__A_kind","consistency__A_kind","personality__posEmo","consistency__posEmo","personality__negEmo","consistency__negEmo","personality__C_reliable","consistency__C_reliable","personality__happy","consistency__happy","personality__N_worried","consistency__N_worried","personality__selfEsteem","consistency__selfEsteem"
26,1,19,1,2,2,2,6,12,5,11,8,12,5,13,13,13,9,7,11,10,14,6,11,8,9,5,10,9,9,4,4,8,3,11,9,2,14,5,13,11,14,13,12,8,13,7,6,15,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,18,1,2,2,5,13,5,11,6,11,15,9,7,8,11,7,11,14,12,12,11,13,7,7,9,4,8,14,12,13,6,5,15,9,1,15,1,15,1,13,10,14,15,13,15,13,15,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,19,3,3,2,3,9,11,11,3,12,7,13,7,5,12,14,9,13,10,10,10,13,9,10,3,12,6,15,3,3,7,5,11,8,3,9,13,9,7,9,10,11,9,9,7,10,7,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2,18,1,2,2,2,12,12,4,13,4,14,6,12,13,10,10,11,10,5,6,13,10,9,12,7,11,11,4,14,6,6,13,5,10,13,5,13,6,13,7,6,7,11,6,15,9,13,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,18,1,2,2,5,5,11,1,10,3,10,7,12,13,12,4,4,13,13,12,6,13,6,9,8,8,8,7,7,8,11,10,9,10,3,12,4,11,9,9,8,11,11,10,9,9,14,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2,18,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2,19,1,3,2,2,14,12,2,6,3,12,9,12,11,10,12,11,10,2,5,14,10,11,13,5,12,13,6,7,2,13,3,9,11,5,14,7,11,4,10,6,9,7,7,15,6,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2,19,4,3,2,5,15,8,2,8,13,8,10,4,4,8,12,8,8,2,8,12,8,12,1,14,5,2,4,15,12,3,15,2,14,11,2,12,2,15,10,1,5,4,2,15,8,12,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2,19,1,3,2,3,5,14,5,14,8,14,5,12,12,14,10,3,10,15,12,4,15,10,12,13,12,13,9,14,14,11,6,14,7,6,14,10,15,9,13,8,10,10,10,14,11,14,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2,20,1,3,2,5,5,12,3,12,9,13,11,13,14,12,8,6,12,13,13,8,13,10,9,12,10,10,6,14,13,8,12,11,10,2,12,12,10,10,12,2,12,9,11,13,8,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2,18,1,2,2,NA,4,12,2,11,5,8,3,12,13,15,8,2,13,13,14,13,13,6,8,11,10,9,6,12,11,10,10,8,10,2,5,5,11,9,10,5,11,13,11,8,14,9,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,18,1,2,2,5,4,6,5,13,4,8,6,12,13,14,4,14,12,10,11,10,13,11,12,1,13,10,13,4,2,10,6,10,8,2,7,7,7,7,10,2,8,10,10,11,10,5,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,18,1,2,2,5,7,14,4,13,4,13,9,14,14,13,10,9,13,13,13,10,13,4,9,14,6,10,12,11,13,13,4,12,10,3,14,6,14,2,9,9,10,8,11,10,6,11,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,18,1,2,1,5,4,15,9,12,6,12,11,12,13,13,12,11,15,14,15,13,15,11,14,4,14,15,11,9,3,14,10,13,11,10,15,11,11,14,15,7,11,11,15,15,12,13,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2,18,1,2,1,5,7,7,2,8,10,9,2,11,14,12,7,2,10,9,12,7,13,5,8,10,9,9,9,11,9,6,10,7,10,8,6,10,8,13,12,5,8,11,4,13,5,13,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,18,1,2,2,2,9,11,1,10,1,14,8,13,14,13,5,6,13,11,11,3,13,12,3,14,10,9,9,11,15,14,2,12,3,3,13,2,10,4,12,2,10,11,10,14,4,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2,18,1,2,2,5,9,9,8,6,10,8,8,8,10,10,10,6,8,10,13,10,12,10,7,12,6,7,8,12,13,9,15,8,14,4,6,11,8,12,8,5,7,9,7,13,10,11,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,19,1,3,2,5,5,14,3,15,2,10,5,13,14,11,10,5,12,6,14,13,13,10,15,3,14,14,9,2,2,13,9,4,10,11,10,14,4,9,9,3,12,10,7,14,11,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2,NA,NA,NA,NA,NA,7,11,1,9,3,12,3,13,15,15,1,1,15,15,15,10,15,1,7,11,8,8,15,15,10,12,7,15,12,1,15,9,15,9,12,1,10,14,3,12,3,9,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2,18,1,2,2,2,11,13,12,4,11,14,12,10,12,14,12,7,14,14,11,10,14,12,13,8,12,12,14,9,5,11,11,7,14,5,9,13,11,13,10,10,9,9,5,9,14,7,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2,18,1,2,2,5,8,11,5,13,9,12,5,10,13,11,9,9,11,12,10,9,10,10,9,8,10,10,8,13,9,12,5,13,8,1,12,7,14,6,10,1,11,9,10,13,9,13,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2,19,1,3,2,2,12,9,10,14,2,13,9,12,13,13,13,13,13,11,13,11,13,12,13,6,13,14,13,9,4,14,5,12,10,2,14,6,13,5,12,3,13,11,13,13,6,9,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2,19,3,3,2,3,6,5,12,10,9,10,3,13,11,15,2,15,8,12,12,8,12,6,15,10,13,13,11,10,3,15,7,11,13,6,11,9,12,12,13,1,13,14,8,15,14,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
